,0,1,2,3
218,51.81499863,0.00602,10106.31235,29.04000092
219,88.08499908,0.00399,7340.852342,34.20999908
220,43.86500168,0.00552,2733.695689,27.62000084
221,84.71499634,0.00377,14946.94927,30.95999908
222,76.09500122,0.0026,13361.5396,21.53000069
223,19.96999931,0.01693,2236.266977,46.25
224,129.375,0.0032,2562.499902,43.49000168
225,37.43999863,0.00481,8594.594729,39.52000046
226,27.71999931,0.00412,6402.912596,54.43999863
227,56.18500137,0.00483,14548.65378,38.63000107
228,60.04499817,0.00479,11680.5848,36.81000137
229,61.47499847,0.00366,11240.43673,50
230,25.03000069,0.00508,12395.66972,30.43000031
231,55.84000015,0.00323,16910.21629,33.15999985
232,43.52500153,0.0054,8627.777654,51.43999863
233,59.51499939,0.00435,10744.82821,37.54999924
234,65.73500061,0.00332,11021.0846,33.66999817
235,55.99000168,0.00322,5183.229933,47.06999969
236,55.63999939,0.00349,12610.31467,26.85000038
237,58.36999893,0.00298,6976.51033,30.85000038
238,20.92000008,0.01089,4337.006249,45.52999878
239,110.5950012,0.00331,5290.030372,30.48999977
240,40.76499939,0.00392,13374.99982,37.88000107
241,27.21500015,0.00472,17396.18734,37.88999939
242,45.26499939,0.00478,14849.37244,32.86000061
